,team_depth_1,score_depth_1,team_depth_2,score_depth_2,team_depth_3,score_depth_3,team_depth_4,score_depth_4,team_depth_5,score_depth_5,team_depth_6,score_depth_6,team_depth_7,score_depth_7,team_depth_8,score_depth_8,team_depth_9,score_depth_9,team_depth_10,score_depth_10
72, California,0.41666666666666663, Mississippi_St,0.5795454545454543, Mississippi,0.6352169983368334, Mississippi,0.6650088451589645, Mississippi,0.6759972768809208, Mississippi,0.6799222989139537, Mississippi,0.6812826573804412, Mississippi,0.6817458940914632, Mississippi,0.6819011495573154, Mississippi,0.6819525524816501
73, ULL,0.41666666666666663, Indiana,0.575174825174825, N_Illinois,0.6234618916437102, South_Carolina,0.6501928853266227, South_Carolina,0.6607524164203639, South_Carolina,0.6645268410768094, South_Carolina,0.6658438123165749, South_Carolina,0.6662936039300463, South_Carolina,0.6664446488766484, South_Carolina,0.6664946951609476
74, Maryland,0.41666666666666663, UT_San_Antonio,0.5726010101010099, South_Carolina,0.6220715311624404, N_Illinois,0.6369046190289248, N_Illinois,0.6412892097570483, N_Illinois,0.6427234011200392, N_Illinois,0.6431901231343929, N_Illinois,0.6433437538840937, N_Illinois,0.6433944288427599, N_Illinois,0.6434111270159443
75, TCU,0.41666666666666663, ULL,0.5631313131313129, UT_San_Antonio,0.6209476024816933, UT_San_Antonio,0.6358059337668042, UT_San_Antonio,0.6405645399555765, UT_San_Antonio,0.6421305594153369, UT_San_Antonio,0.6426542158942958, UT_San_Antonio,0.6428290620454614, UT_San_Antonio,0.6428872149617296, UT_San_Antonio,0.6429064625453347
76, C_Michigan,0.41666666666666663, Texas,0.5618686868686867, Texas,0.6137305455487277, Texas,0.6318539640242806, Texas,0.638083909556232, Texas,0.6402125245252029, Texas,0.6409323026502155, Texas,0.64117503676838, Texas,0.6412563674185259, Texas,0.6412834197082439
77, UT_San_Antonio,0.41666666666666663, Mississippi,0.555785123966942, ULL,0.613518636245909, ULL,0.6301609522607763, ULL,0.6358370179972261, ULL,0.6377309136311538, ULL,0.6383575119294128, ULL,0.6385633268329712, ULL,0.6386305491032219, ULL,0.638652407051283
78, South_Carolina,0.41666666666666663, TCU,0.5536616161616159, Indiana,0.6039812460267008, TCU,0.6166637115187866, TCU,0.6221931320665699, TCU,0.6241168471293128, TCU,0.6247771355029597, TCU,0.6250019582216285, TCU,0.6250777398760282, TCU,0.6251030583654292
79, Vanderbilt,0.41666666666666663, South_Carolina,0.5523989898989897, TCU,0.6004118987073536, Indiana,0.612907791626802, Indiana,0.615866093730916, Indiana,0.6168558943698297, Indiana,0.6171859628964925, Indiana,0.6172955403769891, Indiana,0.6173318458910163, Indiana,0.6173438706235113
80, UCF,0.41666666666666663, UCF,0.52020202020202, Texas_Tech,0.5626782890768903, Texas_Tech,0.5806289787535808, Texas_Tech,0.5864794507955793, Texas_Tech,0.5884115997187523, South_Alabama,0.589081670895055, South_Alabama,0.5893179782901266, South_Alabama,0.58939568473787, South_Alabama,0.5894210771571338
81, Akron,0.36363636363636365, Maryland,0.5170454545454545, Ga_Southern,0.5626645507843858, Ga_Southern,0.5801822591113112, South_Alabama,0.5862381698289729, South_Alabama,0.588368502208124, Texas_Tech,0.5890564338254751, Texas_Tech,0.5892736404277837, Texas_Tech,0.5893467971897297, Texas_Tech,0.5893713091368702
